19/03 15:41:23 INFO server.LineServer|info server started at *:4039
19/03 15:41:23 INFO server.TACServer|waiting for Info Server to start...
19/03 15:41:27 FINE server.LineServer|new info connection: info-1
19/03 15:41:27 INFO server.InfoServer|new Java Info server connection
19/03 15:41:27 INFO server.TACServer|tac server started at *:6500
19/03 15:52:05 FINE server.TACServer|new agent: tac-1
19/03 15:52:05 FINEST server.TACConnection|XML_IN(tac-1): <auth><userName>FirstTest</userName><userPW>1234</userPW></auth>
19/03 15:52:05 FINEST server.TACConnection|XML_OUT(FirstTest@tac-1): <auth><userID>0</userID><commandStatus>0</commandStatus></auth>
19/03 15:52:06 FINEST server.TACConnection|XML_IN(FirstTest@tac-1): <serverTime></serverTime>
19/03 15:52:06 FINEST server.TACConnection|XML_OUT(FirstTest@tac-1): <serverTime><time>1363708326</time><commandStatus>0</commandStatus></serverTime>
19/03 15:52:06 FINEST server.TACConnection|XML_IN(FirstTest@tac-1): <nextGame></nextGame>
19/03 15:52:06 FINEST server.TACConnection|XML_OUT(FirstTest@tac-1): <nextGame><gameID>3</gameID><startTime>1363708440</startTime><gameType>0</gameType><commandStatus>0</commandStatus></nextGame>
19/03 15:52:06 FINEST server.TACConnection|XML_IN(FirstTest@tac-1): <quit></quit>
19/03 15:52:06 FINEST server.TACConnection|XML_OUT(FirstTest@tac-1): <quit><commandStatus>0</commandStatus></quit>
19/03 15:52:06 FINEST inet.InetConnection|FirstTest@tac-1: connection closed from 127.0.0.1
19/03 15:54:00 FINE server.InfoManager|Entering log for game 3
************************************************************
* Entering log for game 3
************************************************************


19/03 16:03:01 FINEST server.TACConnection|XML_IN(FirstTest@tac-3): <transIDs><earliestTransID>523</earliestTransID></transIDs>
19/03 16:03:01 FINEST server.TACConnection|XML_OUT(FirstTest@tac-3): <transIDs><ids><list></list></ids><more>0</more><commandStatus>0</commandStatus></transIDs>
19/03 16:03:01 FINEST server.TACConnection|XML_IN(FirstTest@tac-3): <nextGame><stat.avgResponseTime>16.0</stat.avgResponseTime><stat.messageCount>623</stat.messageCount></nextGame>
19/03 16:03:01 FINEST server.TACConnection|XML_OUT(FirstTest@tac-3): <nextGame><gameID>4</gameID><startTime>1363709160</startTime><gameType>0</gameType><commandStatus>0</commandStatus></nextGame>
19/03 16:03:01 FINEST server.TACConnection|XML_IN(FirstTest@tac-3): <quit></quit>
19/03 16:03:01 FINEST server.TACConnection|XML_OUT(FirstTest@tac-3): <quit><commandStatus>0</commandStatus></quit>
19/03 16:03:01 FINEST inet.InetConnection|FirstTest@tac-3: connection closed from 127.0.0.1
19/03 16:03:48 INFO server.InfoServer|Game 3 have finished calculating score
19/03 16:03:48 FINEST server.TACConnection|TAC CONNECTION FirstTest@tac-3 FROM 127.0.0.1 IS BEING GARBAGED
19/03 16:06:00 FINE server.InfoManager|Entering log for game 4
************************************************************
* Entering log for game 4
************************************************************


19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <getQuote><auctionID>101</auctionID><bidID>3547</bidID></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>114.9633</lastAskPrice><lastBidPrice>113.8107</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>0.0000</lastClearPrice><lastClearTime>0</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
